Baird Capital Partners,http://www.rwbaird.com
Baird Capital Partners Europe,http://www.bcpe.co.uk
Baird Venture Partners,http://www.bairdventurepartners.com
Baker Capital,http://www.bakercapital.com
Balderton Capital,http://www.balderton.com
Balkan Accession Management,http://www.bafund.net
Ballast Point Ventures,http://www.ballastpointventures.com
Balmoral Advisors,http://www.balmoralfunds.com
Balmoral Capital,http://www.balmoralcapital.com
BaltCap Management,http://www.baltcap.com
Banc of America Capital Access Funds,http://www.bacapitalaccessfunds.com
Banc of America Equity Partners,http://www.bankofamerica.com
Bancroft Group,http://www.bancroftgroup.com/en/home/index_home.shtml
Band of Angels Management,http://www.bandangels.com
Banexi Capital Partenaires,http://www.banexicapital.com
Banexi Ventures Partners,http://www.banexiventures.com
Banistmo Private Equity,http://www.banistmo.com
Bank of America Capital Advisors,http://www.bankofamerica.com
Bank Vontobel,http://www.vontobel.com
BankCap Partners,http://www.bankcap.com
BankInvest Technology,http://www.biventure.com
Banyan Capital Partners,http://www.banyancapitalpartners.com
Banyan Capital Partners,http://www.cclgroup.com/banyancapitalpartners
Banyan Mezzanine Fund,http://www.banyanmezzanine.com
Barclays Private Equity,http://www.barcap.com/cgi-bin/bpe/index.pl
Baring Private Equity Partners,http://www.bpep.com
Baring Private Equity Partners,http://www.bpep.com
Barrow Street Capital,http://www.barrowstreetcapital.com
Basar Global Group,http://www.basarglobal.com
BASF Venture Capital,http://www.basf-fb.de
Batavia Investment Management,http://www.bataviafund.com
Battery Ventures,http://www.battery.com
Bay BG Bavarian Venture Capital,http://www.baybg.de
Bay City Capital,http://www.baycitycapital.com
Bay Hills Capital,http://www.bayhillscapital.com
Bay Partners,http://www.baypartners.com
BayNorth Capital,http://www.baynorthcapital.com
Bayside Capital,http://www.bayside.com
Bayside Capital,http://www.bayside.com
Baytech Venture Capital,http://www.baytechventurecapital.de
BB Biotech Ventures,http://www.bbbiotechventures.com
BB&T Capital Partners,http://www.bbtcp.com
BC Advantage Funds,http://www.bcadvantagefunds.com
BC Partners,http://www.bcpartners.com
BDC Venture Capital,http://www.bdc.ca/en/business_solutions/venture_capital/about_us/venture_capital.htm
Beacon Capital Partners,http://www.beaconcapital.com
Beacon Global,http://www.beaconglobal.com
Bear Creek Venture Partners,http://www.bearcreekvp.com
Bear Ventures,http://www.bearven.com
Bedford Capital,http://www.bedfordcapital.ca
Bedford Funding Capital Management,http://www.bedfordfunding.com
Bedminster Capital Management,http://www.beechbrookcapital.com
Beechbrook Capital,http://www.beechtreecapital.com
Beechtree Capital,http://www.behrmancap.com
Behrman Capital,http://www.sdbell.com
Bell Partners,http://www.belvederecapital.com
Belvedere Capital Partners,http://www.belveronpartners.com
Belveron Real Estate Partners,http://www.benaroya.com
Benaroya Capital,http://www.benchmark.com
Benchmark Capital,http://www.bencis.nl/web/site/default.aspx
Bencis Capital Partners,http://www.benfordcapital.com
Benford Capital Partners,http://www.bensonelliot.com
Benson Elliot Capital Management,http://www.berenbergbank.de
Berenberg Private Capital,www.bergamocorp.com
Bergamo Acquisition Corp,http://www.beringea.com
Beringea,http://www.berkeleytrust.com
Berkeley Advisors Group,http://www.berkshirepartners.com
Berkshire Partners,http://www.berkshirepropertyadvisors.com
Berkshire Property Advisors,http://www.berkshirescap.com
Bernstein Cos.,http://www.thebernsteincompanies.com
Bertelsmann AG,http://www.bertelsmann.com
Bertram Capital,http://www.bertramcapital.com
Berwind Property,http://www.bpgltd.com
Bessemer Trust,http://www.bessemer.com
Bessemer Venture Partners,http://www.bvp.com
BEST Investment Council,http://www.bestcounsel.ca
Beteiligungsmanagement Thuringen (bm-t),http://www.bm-t.de
Betwin Investments,http://www.bevcapital.com
BEV Capital,http://www.bgaffiliates.com
BG Affiliates,http://www.biadigitalpartners.com
BIA Digital Partners,http://www.bbv.be
Big Bang Ventures,http://www.biggamecapital.com
Big Game Capital,http://www.bigrockpartners.com
Big Rock Partners,http://www.bigskyvc.com
Big Sky Partners,http://www.biltmoreventures.com
Biltmore Ventures,http://www.biofund.fi
Bio Fund Management,http://www.bio1capital.com
Bio One Capital,http://www.biocrossroads.com
BioGeneration Ventures,http://www.biogenerationventures.com
BioM,http://www.bio-m.de
BioMedical Innovations Management,http://www.biomedicalinnovations.com
Biomedical Investments,http://www.biomed.co.il
BioMedinvest,http://www.biomedinvest.ch
BioScience Managers Ltd. (BML),http://www.biosciencemanagers.com
BioStar Ventures,http://www.biostarfund.com
Biotech Turnaround Fund (BTF),http://www.btf-bv.com
BioVeda Capital,http://biovedavc.com
BioVentures Investors,http://www.bioventuresinvestors.com
BIP Investment Partners,http://www.bip.lu
Birch Hill Equity Partners,http://www.birchhillequity.com
Birchmere Ventures,http://www.birchmerevc.com
Birchmont Capital Advisors,http://www.birchmontcapital.com
Bison Capital,http://www.bisoncapital.com
Black Canyon Capital,http://www.blackcanyoncapital.com
Black Coral Capital,http://www.blackcoralcapital.com
Black Creek Group,http://www.blackcreekcapital.com
BlackEagle Partners,http://www.blackeaglepartners.com
Blackford Capital,http://www.blackfordcapital.com
BlackRock,http://www.blackrock.com
Blackstone Group,http://www.blackstone.com
Blackstreet Capital Management,http://www.blackstreetcapital.com
Blackwater Capital,http://www.blackwatercapital.com
Blue Chip Venture,http://www.bcvc.com
Blue Hill Partners,http://www.bluehillpartners.com
Blue Horizon Equity,http://www.bluehorizonequity.com
Blue Point Capital Partners,http://www.bluepointcapital.com
Blue Ridge Angel Investor Network,http://www.brainnc.com
Blue Ridge China Partners,http://www.bluerivercapital.com
Blue River Capital,http://www.brplp.com
Blue River Partners,http://www.bluerockcapital.com
Blue Rock Capital,http://www.bluesage.com
Blue Sage Capital,http://www.bluetipenergy.com
Blue Tip Energy Partners,http://www.bluevistallc.com
Blue Vista Capital Management,http://www.bluewatercapital.com
Blue Water Capital,http://www.blue-wolf.com
Blueprint Ventures,http://www.blueprintventures.com
BlueRun Ventures,http://www.brv.com
Bluestem Capital Partners,http://www.bluestemcapital.com
BlueStone Real Estate Capital,http://www.bluestonecap.com
BlueStream Ventures,http://www.bluestreamventures.com
Blum Capital Partners,http://www.blumcapital.com
Blumberg Capital,http://www.blumbergcapital.com
BluO,http://www.bluo.arte-nero.de
BMA Capital,http://www.bmacapital.com
BMB Capital,http://www.bmbcapital.com
BMG Financial Advisors,http://www.bmg.com.sa
BMO Capital Markets,http://www.bmocm.com/products/investment/pequity
BMP,http://www.bmp.com
BNP Private Equity,http://www.bnpparibas.com
BNY Mezzanine Partners,http://www.bnymellon.com
Boathouse Capital,http://www.boathousecapital.com
BOK Financial Corporation,http://www.bokf.com
Boldcap Ventures,http://www.boldcap.com
Bond Cos.,http://www.bondcompanies.com
Borealis Infrastructure,http://www.borealisinfrastructure.com
Borealis Ventures,http://www.borealisventures.com
Boston Community Venture Fund,http://www.bcvfund.com
Boston Harbor Capital,http://www.bostonharborcapital.com
Boston Millennia Partners,http://www.millenniapartners.com
Boston Ventures,http://www.bostonventures.com
Boulder Net Lease Funds,http://www.boulderfunds.com
Boulder Ventures,http://www.boulderventures.com
Bow River Capital Partners,http://www.bowrivercapital.com
Bradford Equities Management,http://www.bradfordequities.com
Braemar Energy Ventures,http://www.braemarenergy.com
Brain Trust Accelerator Fund,http://www.braintrustvc.com
Brait Capital Partners,http://www.brait.com
Brantley Partners,http://www.brantleypartners.com
Braveheart Investment Group,http://www.braveheart-ventures.co.uk
Brazos Private Equity Partners,http://www.brazosinv.com
Breeze Venture Management,http://www.breezeventures.com
Bregal,http://www.bregal.com
Brentwood Associates,http://www.brentwood.com
Brickman Associates,http://www.brickmanre.com
Bridge Investment Fund,http://www.bridgefundllc.com
Bridge Street Capital Partners,http://www.bridgestreetcapital.com
Bridgepoint Capital,http://www.bridgepoint-capital.com
Bridges Ventures,http://www.bridgesventures.com
Bridgescale Partners,http://www.bridgescale.com
Bright Station Ventures,http://www.brightstation.com
Brightspark Capital Partners,http://www.brightspark.com
Brightstone Capital,http://www.brightstonevc.com
BRM Capital,http://www.brm.com
Broadreach Capital Partners,http://www.broadreachcp.com
Broadway Real Estate Partners,http://www.bwaypartners.com
BroadWebAsia,http://www.broadwebasia.com
Brockhaus Private Equity,http://www.brockhaus-pe.com
Brook Venture Capital,http://www.brookventure.com
Brookdale Group,http://www.brookdalegroup.com
Brooke Private Equity Advisors,http://www.brookepea.com
Brookfield Asset Management,http://www.brookfield.com
Brookline Venture Partners,http://www.brooklineventures.com
Brooks Houghton & Co. (BHC),http://www.brookshoughton.com
Brookside Group,http://www.brooksidecapitalpartners.com
Brookstone Partners,www.brookstonepartners.com
Brookwood Financial Partners,http://www.bfplp.com
Brookwood Financial Partners,http://www.bfplp.com
Brown Brothers Harriman,http://www.bbh.com
Bruckmann Rosser Sherrill,http://www.brs.com
Bryanston Realty Partners,http://www.bryanstonrp.com
Brynwood Partners,http://www.brynwoodpartners.com
Brysam Global Partners,http://www.brysam.com
BS Private Equity,http://www.bspeg.com
BTG International,http://www.btgplc.com
BTS Investment Advisors,http://www.btsadvisors.com
Buchanan Capital Partners,http://www.buchananpartners.de
Buchanan Street Partners,http://www.buchananstreet.com
Buckeye Venture Partners,http://www.theohiocapitalfund.com
Buckingham Capital Partners,http://www.buckinghamcapital.com
Buerk Dale Victor,http://www.bdvllc.com
Bunker Hill Capital,http://www.bunkerhillcapital.com
Burda Digital Ventures,http://www.burdadigital.de/ventures/strategie.html
Burrill & Co.,http://www.burrillandco.com
Business Management,http://www.businessmanagement.com.au
Business Partners International,http://www.businesspartners.co.za
Butler Capital Partners,http://www.butlercapitalpartners.com
BV Capital,http://www.bvcapital.com
BV-Cornerstone Ventures,http://www.bvcv.com
Byblos Bank,http://www.byblosbank.com.lb
C Change Investments,http://www.cchangeinvestments.com
C.D. Technicom,http://www.sriw.be/en/Technicom-74.html
C3 Capital,http://www.c3holdings.com
Cabot Properties,http://www.cabotprop.com
Cabot Square Capital,http://www.cabotsquare.com
Cadent Energy Partners,http://www.cadentenergy.com
CAI Private Equity,http://www.caifunds.com
Calare Properties,http://www.calare.com
CalCEF Angel Fund,http://www.calcefangelfund.com
Calder Capital,http://www.caldercapital.com
Calera Capital,http://www.caleracapital.com
California Capital Partners,http://www.calcappartners.com
California Technology Ventures,http://www.ctventures.com
Callisto Capital,http://www.callistocapital.ca
Caltius Capital,http://www.caltius.com
Calvert Street Capital Partners,http://www.cscp.com
CAM Private Equity,http://www.camprivateequity.com
Cambodia Emerald,http://www.cambodiaemerald.net
Cambrian Ventures,http://www.cambrianventures.com
Cambridge Accelerator Partners,http://www.capartners.co.uk
Cambridge Capital Group,http://www.cambridgecapitalgroup.co.uk
Cambridge Research & Innovation,http://www.cambridgecapitalmgmt.com
Cambridge Ventures,http://www.camdenpartners.com
Camcor Capital,http://www.thecamelotgroup.com
Camden Partners,http://www.campbellgroup.com
Camelot Group,http://www.campventures.com
Campbell Group,http://www.canaan.com
CampVentures,http://www.canaccordadams.com
Canaan Partners,http://www.cmdf.com
Canaccord Adams,http://www.candlewoodpartners.com
Canadian Medical Discoveries Fund,http://www.candover.com
Canbank Venture Capital Fund,http://www.canopy.com
Candlewood Partners,http://www.canterep.com
Canterbury Park Capital,http://www.canparkcap.com
Canyon Capital,http://www.canyoncapital.com
Canyon River Capital Partners,www.canyonrivercp.com
CapDecisif,http://www.capdecisif.com
Cape Natexis,http://www.cape.it
CapGen Capital Advisors,http://www.capgen.com
Capital Benoit,http://www.capdyn.com
Capital Dynamics,http://www.capitalforbusiness.com
Capital for Business,http://www.thecapitalfund.co.uk
Capital Fund,http://www.capinnovations.com
Capital Innovations,http://server.capgroup.com/capgroup/cg_logon_pe.jsp
Capital International,http://www.capitalmh.com
Capital Management House,http://www.crp.com
