Report Whole Date,Report Date YYYY,Report Date Q,Quarter Year Code Report Date,Quarters Since Close,Years Since Fund Close to Report Date,Fund ID,FundName,Fund Type,investor name,Fund Close Date,Fund Close YYYY,Fund Close Q,Global Region,LP beid,LP Name,FundLPID,Remaining Value,Contributed,Distributed,Fund Initial Amount,Consistency,Comitted
6/30/2013,2013,2,20132,57,14,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,648011,5422717.3,8734086,170,0.857142857,5600000
12/31/2012,2012,4,20124,55,13,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,648011,5422717,8734086,170,0.857142857,5600000
6/30/2012,2012,2,20122,53,13,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,600000,5400000,8600000,170,0.857142857,5600000
3/31/2012,2012,1,20121,52,13,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,600000,5400000,8600000,170,0.857142857,5600000
12/31/2011,2011,4,20114,51,12,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,600000,5400000,8600000,170,0.857142857,5600000
9/30/2011,2011,3,20113,50,12,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,500000,5400000,8600000,170,0.857142857,5600000
6/30/2011,2011,2,20112,49,12,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,2000000,5400000,6900000,170,0.857142857,5600000
3/31/2011,2011,1,20111,48,12,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,1400000,5400000,6900000,170,0.857142857,5600000
12/31/2010,2010,4,20104,47,11,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,1500000,5400000,6900000,170,0.857142857,5600000
9/30/2010,2010,3,20103,46,11,16251,Summit Accelerator Fund,Venture Capital,Summit Partners,1/1/1999,1999,1,US,17602,Los Angeles County Employees' Retirement Association,16643,1100000,5400000,6900000,170,0.857142857,5600000
