Report Whole Date,Report Date YYYY,Report Date Q,Quarter Year Code Report Date,Quarters Since Close,Years Since Fund Close to Report Date,Fund ID,FundName,Fund Type,investor name,Fund Close Date,Fund Close YYYY,Fund Close Q,Global Region,LP beid,LP Name,FundLPID,Remaining Value,Contributed,Distributed,Fund Initial Amount,Consistency,Comitted
9/30/2013,2013,3,20133,29,7,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17889,Teacher Retirement System of Texas,11074,17833917,38865999,60642937,1235.996719,0.885714286,40630465
6/30/2013,2013,2,20132,28,7,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17889,Teacher Retirement System of Texas,11074,17432097,38888228,60642937,1235.996719,0.885714286,40582564
3/31/2013,2013,1,20131,27,7,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17889,Teacher Retirement System of Texas,11074,17945848,38783443,60879954,1235.996719,0.885714286,40566883
12/31/2012,2012,4,20124,26,6,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17889,Teacher Retirement System of Texas,11074,39007369,37931395,41482707,1235.996719,0.885714286,40590581
9/30/2012,2012,3,20123,25,6,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17889,Teacher Retirement System of Texas,11074,39492342,37383804,35310153,1235.996719,0.885714286,40540104
6/30/2012,2012,2,20122,24,6,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17889,Teacher Retirement System of Texas,11074,50596389,37316115,21193929,1235.996719,0.885714286,40510075
3/31/2012,2012,1,20121,23,6,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17889,Teacher Retirement System of Texas,11074,48450799,36929463,20990346,1235.996719,0.885714286,40673171
12/31/2011,2011,4,20114,22,5,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17889,Teacher Retirement System of Texas,11074,39216776,36749184,20787002,1235.996719,0.885714286,40590247
9/30/2011,2011,3,20113,21,5,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17889,Teacher Retirement System of Texas,11074,37334591.04,35147259.55,20745686,1235.996719,0.885714286,40733006.94
6/30/2011,2011,2,20112,20,5,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17889,Teacher Retirement System of Texas,11074,39579310,33669832,20744819,1235.996719,0.885714286,41188953
3/31/2011,2011,1,20111,19,5,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17889,Teacher Retirement System of Texas,11074,53198575,33817428,8562832,1235.996719,0.885714286,41031503
12/31/2010,2010,4,20104,18,4,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17889,Teacher Retirement System of Texas,11074,39423413,32311481,7498245,1235.996719,0.885714286,40586300
9/30/2010,2010,3,20103,17,4,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17889,Teacher Retirement System of Texas,11074,35490240,29786679,7713368,1235.996719,0.885714286,40778618
6/30/2010,2010,2,20102,16,4,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17889,Teacher Retirement System of Texas,11074,27993874,27351861,5495825,1235.996719,0.885714286,39465290
3/31/2010,2010,1,20101,15,4,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17889,Teacher Retirement System of Texas,11074,27356439,27351861,5495825,1235.996719,0.885714286,40733092
12/31/2009,2009,4,20094,14,3,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17889,Teacher Retirement System of Texas,11074,13590995,25856068,5488104,1235.996719,0.885714286,41551006
9/30/2009,2009,3,20093,13,3,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17889,Teacher Retirement System of Texas,11074,14173591,25359092,5477886,1235.996719,0.885714286,41847121
6/30/2009,2009,2,20092,12,3,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17889,Teacher Retirement System of Texas,11074,14499003,25359092,5477886,1235.996719,0.885714286,41181042
3/31/2009,2009,1,20091,11,3,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17889,Teacher Retirement System of Texas,11074,15128395.26,24813974.18,5477886,1235.996719,0.885714286,40325495.96
12/31/2008,2008,4,20084,10,2,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17889,Teacher Retirement System of Texas,11074,21983578,25161685,2720173,1235.996719,0.885714286,41045449
9/30/2008,2008,3,20083,9,2,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17889,Teacher Retirement System of Texas,11074,22915596,24587225,2720173,1235.996719,0.885714286,41185017
6/30/2008,2008,2,20082,8,2,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17889,Teacher Retirement System of Texas,11074,22951945,20643048,2022001,1235.996719,0.885714286,43204672
9/30/2007,2007,3,20073,5,1,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17889,Teacher Retirement System of Texas,11074,18658603,18198993,813484,1235.996719,0.885714286,40859075
9/30/2006,2006,3,20063,1,0,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17889,Teacher Retirement System of Texas,11074,9103244,9596000,0,1235.996719,0.885714286,38132947
5/31/2015,2015,2,20152,36,9,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17941,University of Texas Investment Management Company,11952,18214330.94,52606737.27,79569698,1235.996719,1,40581757
2/28/2015,2015,1,20151,35,9,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17941,University of Texas Investment Management Company,11952,18162986.75,52343899.43,74336311,1235.996719,1,40934819
11/30/2014,2014,4,20144,34,8,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17941,University of Texas Investment Management Company,11952,18240904.26,52343899.43,74336311,1235.996719,1,41034919
8/31/2014,2014,3,20143,33,8,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17941,University of Texas Investment Management Company,11952,19307308.85,52154337.15,74338053,1235.996719,1,41097283
5/31/2014,2014,2,20142,32,8,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17941,University of Texas Investment Management Company,11952,18972749.14,52017386.37,72359269,1235.996719,1,41144344
2/28/2014,2014,1,20141,31,8,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17941,University of Texas Investment Management Company,11952,18557619,51371255,72361550,1235.996719,1,41158150
11/30/2013,2013,4,20134,30,7,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17941,University of Texas Investment Management Company,11952,17796728,51371255,72361550,1235.996719,1,41134415
8/31/2013,2013,3,20133,29,7,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17941,University of Texas Investment Management Company,11952,17731367,51090121,71972429,1235.996719,1,41087073
5/31/2013,2013,2,20132,28,7,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17941,University of Texas Investment Management Company,11952,20753620,51090121,71972429,1235.996719,1,41058024
2/28/2013,2013,1,20131,27,7,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17941,University of Texas Investment Management Company,11952,20487091.92,50966744.74,72211228,1235.996719,1,41065294
11/30/2012,2012,4,20124,26,6,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17941,University of Texas Investment Management Company,11952,34409272,50114688,52955855,1235.996719,1,41032691
8/31/2012,2012,3,20123,25,6,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17941,University of Texas Investment Management Company,11952,36116078,49309789,46784618,1235.996719,1,40949010
5/31/2012,2012,2,20122,24,6,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17941,University of Texas Investment Management Company,11952,26258061,48973708,32756812,1235.996719,1,40931911
2/29/2012,2012,1,20121,23,6,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17941,University of Texas Investment Management Company,11952,28108534,48587346,32553759,1235.996719,1,41160898
11/30/2011,2011,4,20114,22,5,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17941,University of Texas Investment Management Company,11952,29518498,48116163,32067870,1235.996719,1,41207086
8/31/2011,2011,3,20113,21,5,22794,Triton Fund II,Buyout,Triton Partners,6/30/2006,2006,2,Europe,17941,University of Texas Investment Management Company,11952,19256270,46533445,32054731,1235.996719,1,41585090
